ID,Level,Page,Type,Question,Answer,OptionA,OptionB,OptionC,OptionD,CorrectOption
624,Novice,9,Toss-up,This is the place where one can see God face to face.,What is Heaven?,What is an anchor?,What is a vice or sin?,What is Heaven?,What is counsel?,C
625,Novice,9,Toss-up,This is a representation in Christian art of a circle of gold or light surrounding the head of a saint.,What is a halo?,What is seven days?,What is a halo?,What are capital sins?,"What is ""Holy, Holy Holy?""",B
626,Novice,9,Toss-up,This son of the priest Zechariah and his wife Elizabeth was born a half year before Jesus Christ.,Who is Saint John the Baptist?,Who is Judas?,Who is Saint John the Baptist?,Who is Ruth?,Who is St. Michael?,B
627,Novice,9,Toss-up,He is the patron saint of Russia.,Who is St. Nicholas?,Who is St. Barbara?,Who is Nebuchadnezzar?,Who is St. Nicholas?,Who is the Holy Spirit?,C
628,Novice,9,Toss-up,"She greeted Mary as ""Mother of my Lord.""",Who is Saint Elizabeth?,Who is St. Lawrence?,Who is Jesus?,"Who are Venerable Jacinta, Venerable Francisco, and Lucia?",Who is Saint Elizabeth?,D
629,Novice,9,Toss-up,This female saint was at the foot of the cross with Mary.,Who is Saint Mary Magdalene?,Who is St. Clotilde?,Who is Saint Mary Magdalene?,Who is Lazarus?,Who is St. Martin de Porres?,B
630,Novice,9,Toss-up,This saint's father beheaded her for being secretly baptized. After her death fire came from heaven and consumed her father.,Who is Saint Barbara?,Who is Saint Barbara?,Who is Saint Bernadette?,Who is the daughter of the Pharaoh of Egypt?,Who is God?,A
631,Novice,9,Toss-up,He is the patron saint of policemen.,Who is St. Michael?,Who is St. Elizabeth Ann Seton?,Who is St. Michael?,"Who is St. Teresa of Lisieux, or the Little Flower?",Who is Isaac? (Gn. 22:2),B
632,Novice,9,Toss-up,He is the patron saint of firemen.,Who is St. Florian?,Who is St. Michael?,Who is Cain?,Who is St. Florian?,Who is Saint Elizabeth?,C
633,Novice,9,Toss-up,She is the patron saint of young girls.,Who is St. Agnes?,Who is Blessed Junipero Serra?,Who is St. Agnes?,Who is Jesus Christ?,Who is Pontius Pilate?,B
634,Novice,9,Toss-up,This is the patron saint of messengers.,Who is St. Gabriel the Archangel?,"Who are Matthew, Mark, Luke, and John?",Who is the pope.,Who is Abram?,Who is St. Gabriel the Archangel?,D
636,Novice,10,Toss-up,These were the parents of Our Blessed Mother.,Who is St. Ann and St. Joachim?,"Who are the poor in spirit, or those persecuted for holiness' sake?",Who is St. Gabriel the Archangel?,Who is Pope Pius XII?,Who is St. Ann and St. Joachim?,D
637,Novice,10,Toss-up,These were the names of the parents of St. John the Baptist.,Who is St. Elizabeth and St. Zachary?,Who is St. Elizabeth and St. Zachary?,Who is St. Elizabeth Ann Seton?,Who is Jacob?,Who is St. Andrew?,A
638,Novice,10,Toss-up,She helped establish the first parochial school in the United States,Who is St. Elizabeth Ann Seton?,Who is Zaccheus?,Who is St. Elizabeth Ann Seton?,Who is God?,"Who are Matthew, Mark, Luke, and John?",B
639,Novice,10,Toss-up,"This man said ""Behold the Lamb of God.""",Who is St. John the Baptist?,Who are the single-hearted? (pure of heart).,Who is Isaac? (Gn. 22:2),Who is St. John the Baptist?,Who is Saint Jude?,C
640,Novice,10,Toss-up,"She greeted Mary as ""Mother of my Lord.""",Who is Saint Elizabeth?,Who is Saint Elizabeth?,Who is St. Barbara?,Who is St. Peter Claver?,Who is the priest?,A
641,Novice,10,Toss-up,He is the patron saint of desperate causes.,Who is Saint Jude?,Who is Moses?,Who are the lowly? (meek).,Who are angels?,Who is Saint Jude?,D
642,Novice,10,Toss-up,This saint's feast day is February 14th.,Who is Saint Valentine? Who are Sts. Cyril and Methodius? (also acceptable).,Who is St. Peter?,Who is Saint Valentine? Who are Sts. Cyril and Methodius? (also acceptable).,"Who is Mary, the Mother of God?",Who is St. Peter Claver?,B
643,Novice,10,Toss-up,"After being given 30 pieces of silver for Jesus' betrayal, he hanged himself.",Who is Judas Iscariot?,"Who is St. Thérèse of Lisieux or ""The Little Flower?""",Who is St. Agnes?,Who is Judas Iscariot?,Who is God the Father?,C
644,Novice,10,Toss-up,This Old Testament figure fooled his aged father into thinking he was a first-born son.,Who is Jacob?,Who is Jacob?,"Who are the poor in spirit, or those persecuted for holiness' sake?",Who is St. Anne?,Who is St. Michael?,A
645,Novice,10,Toss-up,"As a baby, he was put in the bulrushes.",Who is Moses?,Who is St. Florian?,Who is St. Agnes?,Who is Moses?,Who is St. Martin of Tours?,C
646,Novice,10,Toss-up,"This modern saint, who died of tuberculosis, is known for her humility, simplicity, piety and patience in the Carmelite Order.","Who is St. Thérèse of Lisieux or ""The Little Flower?""",Who is St. Benedict?,"Who is St. Thérèse of Lisieux or ""The Little Flower?""",Who are the angels?,Who is St. Bernadette (Soubirous)?,B
647,Novice,10,Toss-up,The band of men chosen by Christ to be His companions during His public life.,Who are the apostles?,"Who are those who are insulted, persecuted, and slandered because of their love of Christ?",Who are St. James the Greater and St. James the Less?,Who is Saint Elizabeth?,Who are the apostles?,D
648,Novice,10,Toss-up,This inspired book has mentioned the angels over 300 times.,What is the Bible?,What is actual sin?,What is the Bible?,What is the Epiphany? (or the feast of the Three Kings),What is 1 billion?,B
649,Novice,10,Toss-up,"This man was excluded from the Promised Land because of his lack of confidence at the ""Waters of Contradiction."" (Num. 20:12-13).",Who is Moses?,"Who are Matthew, Mark, Luke, and John?",Who are Venerable Francisco and Venerable Jacinta?,Who is God the Father?,Who is Moses?,D
650,Novice,10,Toss-up,This man led the Israelites into battle when they conquered the city of Jericho.,Who is Josue?,Who are they who hunger and thirst for holiness?,Who are the single-hearted? (pure of heart).,Who is Josue?,Who is St. John the Baptist?,C
652,Novice,11,Toss-up,This was the mountain upon which God spoke from the burning bush and commanded Moses to go lead the Israelites to freedom.,What is Mt. Sinai (or Horeb)?,What is the purificator?,What is the Seventh Commandment?,What is Mt. Sinai (or Horeb)?,What is Chrism?,C
653,Novice,11,Toss-up,This is what Christ said we must do if we are to be His disciples.,"What is deny ourselves, take up our cross, and follow Him?","What is deny ourselves, take up our cross, and follow Him?",What is Almighty?,What is Good Friday?,What is the Holy Eucharist?,A
654,Novice,11,Toss-up,"He devoted his life to caring for the poor and unfortunate of Lima, and he was known as the ""Saint of Universal Brotherhood."" He was a Dominican lay brother.",Who is St. Martin de Porres?,Who are they who hunger and thirst for holiness?,Who is Benjamin?,Who is St. Martin de Porres?,Who is the pope.,C
655,Novice,11,Toss-up,"This saint was imprisoned in the Auschwitz concentration camp in Poland, and was the founder of the Knights of the Immaculate One.",Who is St. Maximilian Kolbe?,Who is St. Joseph?,Who is St. Peter?,Who is St. Maximilian Kolbe?,Who is St. Barbara?,C
656,Novice,11,Toss-up,This is a title given to Mary after her appearance to Saint Juan Diego in what is known today as Mexico?,Who is Our Lady of Guadalupe?,Who is Jesus Christ?,Who is Saint Elizabeth?,Who is Our Lady of Guadalupe?,Who is St. Nicholas?,C
657,Novice,11,Toss-up,"Of these three totals, this most closely approximates the number of Catholics in the world: 2 billion, 1 billion, 500 million.",What is 1 billion?,What is sin?,What are the Gospels?,What is 1 billion?,What is a halo?,C
658,Novice,11,Toss-up,He was the apostle of the Indies and of Japan.,Who is St. Francis Xavier?,"Who are Venerable Jacinta, Venerable Francisco, and Lucia?",Who is Saint Mary Magdalene?,Who is St. Andrew?,Who is St. Francis Xavier?,D
659,Novice,11,Toss-up,"He alone of the apostles remained faithful to Christ during his Passion, and Christ entrusted to him the care of His Mother.",Who is St. John the Evangelist?,Who is St. John the Evangelist?,Who are the single-hearted? (pure of heart).,Who is St. Ann and St. Joachim?,Who is the daughter of the Pharaoh of Egypt?,A
660,Novice,11,Toss-up,This patron saint of South America was the first American saint to be canonized.,Who is St. Rose of Lima?,Who is St. Martha?,Who are the peacemakers?,Who is St. Ignatius of Antioch?,Who is St. Rose of Lima?,D
661,Novice,11,Toss-up,"According to tradition, this is the way Peter died.",#NAME?,What is: You shall not commit adultery?,#NAME?,Who is St. Benedict?,What is anger?,B
662,Novice,11,Toss-up,"This modern Carmelite saint, who died of tuberculosis, is known for her humility, simplicity, piety and patience.","Who is St. Teresa of Lisieux, or the Little Flower?","Who is St. Teresa of Lisieux, or the Little Flower?",Who is King Herod (son of Herod the Great)?,Who is St. Stanislaus?,Who is Moses?,A
663,Novice,11,Toss-up,This is the meaning of the name Michael.,"What is ""Who is like God?""",What is the consecration?,"What is ""Holy, Holy Holy?""",What is the Bible?,"What is ""Who is like God?""",D
664,Novice,11,Toss-up,This is how old Abraham was when Isaac was born.,What is 100 years?,What is 100 years?,What is Good Friday?,What is gopherwood?,What is seven days?,A
666,Novice,12,Toss-up,Angels came to him and gave him Holy Communion when no priest was available.,Who is St. Stanislaus?,Who is Lazarus?,Who is St. Stanislaus?,Who is Moses?,Who is St. Maximilian Kolbe?,B
667,Novice,12,Toss-up,She was the mother of the Blessed Virgin Mary.,Who is St. Anne?,Who is St. Lawrence?,Who is Saint Ignatius of Loyola?,Who is St. Anne?,Who is Melchisedech? (Gn. 14:18-20),C
668,Novice,12,Toss-up,"This name meaning ""Who is like God?"" refers to a battle between the fallen angels, Satan and his followers, and the angels who were faithful.",Who is Michael?,Who is Michael?,Who is Lucifer?,Who is Joseph of Arimathea?,Who are the peacemakers?,A
669,Novice,12,Toss-up,"In 258 A.D. this boy saint, while carrying the Eucharist to condemned Christians was stoned because he would not reveal the Eucharist to some boys who were taunting him.",Who is St. Tarcisius?,Who is St. Tarcisius?,Who is St. Francis of Assisi?,Who is Saint Valentine? Who are Sts. Cyril and Methodius? (also acceptable).,Who is St. Rose of Lima?,A
670,Novice,12,Toss-up,"Kinsman of Jesus, he was one of the 12 apostles and a martyr. He is patron of the impossible.",Who is St. Jude?,Who is Sara? (Gn. 21:2),Who is St. Jude?,Who is St. Maximilian Kolbe?,Who is Isaac? (Gn. 22:2),B
671,Novice,12,Toss-up,"Deacon of the Church of Rome, the Romans believed him to be church treasurer. After his capture and roasting on their fire, he jokingly said, ""Turn me over, for I think I'm done on that side.""",Who is St. Lawrence?,Who is Saint John the Baptist?,Who is St. Lawrence?,Who is Abram?,Who is St. Peter?,B
672,Novice,12,Toss-up,"Captured by pirates as a boy and sold, he escaped and returned later to convert the country. He became the apostle of Ireland.",Who is St. Patrick?,Who is St. Barbara?,Who is St. Patrick?,Who is Ruth?,Who is St. Michael?,B
673,Novice,12,Toss-up,He was crucified on an X-shaped cross and was one of the apostles.,Who is St. Andrew?,Who is St. Andrew?,Who is St. Elizabeth of Hungary?,Who is St. Barbara?,Who is God and Saint Joseph?,A
674,Novice,12,Toss-up,"Imprisoned in a tower by her father, she was converted by a singing priest. While being martyred, tradition says the soldiers saw angels coming to carry her soul to Heaven.",Who is St. Barbara?,Who is Jesus?,Who is St. Benedict?,Who is St. Barbara?,Who is St. Martha?,C
675,Novice,12,Toss-up,"She was married to the first Catholic king of France, named Clovis.",Who is St. Clotilde?,Who is God?,Who is St. Elizabeth Ann Seton?,Who is St. Clotilde?,Who are the sorrowing? (those who mourn).,C
676,Novice,12,Toss-up,A Society which today helps the poor is named after this saint who spent his life helping the poor.,Who is St. Vincent de Paul?,Who is Joshua or Josue?,Who is St. Vincent de Paul?,Who is St. Jude?,Who is the Holy Spirit?,B
677,Novice,12,Toss-up,"This Hungarian saint was loved by the poor. One day according to tradition, while taking food to the poor, she was stopped and flowers fell out of her cloak.",Who is St. Elizabeth of Hungary?,Who is the Holy Spirit?,Who is St. Elizabeth of Hungary?,Who is St. Elizabeth Ann Seton?,"Who are those who are insulted, persecuted, and slandered because of their love of Christ?",B
678,Novice,12,Toss-up,This saint worked among the galley slaves of the West Indies.,Who is St. Peter Claver?,Who is Jesus?,Who is St. Peter Claver?,Who is the Blessed Virgin? (Mary our Mother).,Who is Saint Ignatius of Loyola?,B
680,Novice,13,Toss-up,"A victim soul for God's divine justice, this young Italian woman suffered the agonies of Christ's passion and when she died, became a jewel in Christ's crown.",Who is St. Gemma Galgani?,Who is St. Barbara?,Who is St. Gemma Galgani?,Who is St. Anne?,Who is St. Joseph?,B
681,Novice,13,Toss-up,This Bishop of Antioch was also a disciple of St. John the Apostle.,Who is St. Ignatius of Antioch?,"Who is St. Teresa of Lisieux, or the Little Flower?",Who is the pope?,Who is St. Ignatius of Antioch?,Who are Christ and the pope?,C
682,Novice,13,Toss-up,In the sixth century this Italian monk wrote a Holy Rule for the monastic way of life.,Who is St. Benedict?,Who is St. Gabriel the Archangel?,Who is St. Benedict?,"Who is St. Teresa of Lisieux, or the Little Flower?",Who is St. Francis of Assisi?,B
683,Novice,13,Toss-up,This saint made the first manger scene for Christmas.,Who is St. Francis of Assisi?,Who is St. Francis of Assisi?,Who is God the Father?,Who are Venerable Francisco and Venerable Jacinta?,Who are the peacemakers?,A
684,Novice,13,Toss-up,"As brother and sister who died as children, they were both declared venerable on May 1990. Along with their cousin, they witnessed six apparitions of our Blessed Mother in Fatima.",Who are Venerable Francisco and Venerable Jacinta?,"Who are those who are insulted, persecuted, and slandered because of their love of Christ?",Who is Pontius Pilate?,Who is St. Lawrence?,Who are Venerable Francisco and Venerable Jacinta?,D
685,Novice,13,Toss-up,This saint was a Roman soldier who was put into prison for refusing to fight. To prove he was not a coward he stood in the front line of a battle field with a cross. He also shared his cloak with a beggar.,Who is St. Martin of Tours?,Who is St. Martin of Tours?,Who is St. Florian?,Who is St. Benedict?,Who is God?,A
686,Novice,13,Toss-up,These saints are the grandparents of Jesus.,Who are St. Ann and St. Joachim?,Who is St. Jude?,Who is St. Elizabeth and St. Zachary?,Who are St. Ann and St. Joachim?,Who is St. Nicholas?,C
687,Novice,13,Toss-up,"This saint claimed that he was married to ""Lady Poverty"".",Who is St. Francis of Assisi?,Who is Judas?,Who is Aaron?,Who is St. Francis of Assisi?,Who are Christ and the pope?,C
688,Novice,13,Toss-up,This saint and Archangel is represented by the Scales of Justice.,Who is St. Michael?,Who is St. James the Greater?,Who is St. Paul?,Who is St. Michael?,Who is Jesus Christ?,C
689,Novice,13,Toss-up,This is how we refer to the differences between the two apostles named James.,Who are St. James the Greater and St. James the Less?,Who are they who hunger and thirst for holiness?,Who is St. Barbara?,Who is God?,Who are St. James the Greater and St. James the Less?,D
690,Novice,13,Toss-up,This saint was declared patron of the Universal Church by Pope Pius IX.,Who is St. Joseph?,Who are the apostles?,Who is Nebuchadnezzar?,Who is St. Joseph?,Who is St. Francis Xavier?,C
691,Novice,13,Toss-up,This group is traditionally known as God's Army?,What are angels?,"What are: ""Feed my lambs, feed my sheep."" (Jn. 21: 15-17)",What is the homily?,What are angels?,"What is ""attend Mass on Sundays and other holy days of obligation.""",C
692,Novice,13,Toss-up,This Archangel is the Prince of Angels because he led the fight against Lucifer and the fallen angels.,Who is St. Michael?,Who is Pope Pius XII?,Who is Josue?,Who is St. Michael?,Who is a catechumen?,C
693,Novice,13,Toss-up,"Speaking to Jesus, this saint repeated thrice, ""You know that I love you.""",Who is St. Peter?,"Who are Venerable Jacinta, Venerable Francisco, and Lucia?",Who is St. Peter?,Who is Lucifer?,Who is Saint Ignatius of Loyola?,B
695,Novice,14,Toss-up,This is a symbol of both Christ as well as of St. Agnes.,What is a lamb?,"What is: ""Bless us, 0 Lord, and these Thy gifts, which we are about to receive from Thy bounty, through Christ our Lord. Amen""?",What is a Pharaoh?,What is a lamb?,"What is ""You shall not steal?""",C
696,Novice,14,Toss-up,This is the term given to person who dies for his faith.,What is a martyr?,What is revelation?,What is the Bible?,What is a martyr?,What is a character?,C
697,Novice,14,Toss-up,"This along with Sacred Scripture, is a source of Revelation.",What is Divine or Sacred Tradition?,What is St. Simeon?,What is the Seventh Commandment?,What is Divine or Sacred Tradition?,What is: Honour your father and your mother?,C
698,Novice,14,Toss-up,"This is a mixture of pure olive oil and balm, blessed by the bishop on Holy Thursday, and used in the administration of the Sacraments of Baptism, Confirmation, Holy Orders and at the consecration of bishops.",What is Chrism?,"What are ""the Savior"" and ""Messiah?""",What is the Bible?,What is Chrism?,What is a character?,C
699,Novice,14,Toss-up,"He is known as The Bishop of Rome, with the Eternal City as his diocese.",Who is the pope?,Who is St. Michael?,Who is the pope?,Who is St. Peter?,Who is St. Ann and St. Joachim?,B
700,Novice,14,Toss-up,"This is the bishop's staff, symbolic of his pastoral office, used at liturgical functions.",What is a crosier?,What is seventy times seven?,What is a crosier?,What is ask? (ask and you shall receive).,"What is: Jesus of Nazareth, King of the Jews? or What is: Iesus Nazarenus Rex Iudaeorum?",B
701,Novice,14,Toss-up,"This is the declaration made by the pope that one of the faithful, because of a life of virtue or the heroic death of martyrdom, is entitled blessed, i.e. is living in the happiness of Heaven.",What is beatification?,What is beatification?,"What is ""through my Fault?""",What is the state of grace?,What is the Visitation (second Joyful Mystery)?,A
702,Novice,14,Toss-up,This religion denies the goodness of creation and believes in reincarnation.,What is Hinduism?,What is: You shall not covet your neighbour's goods?,What is Hinduism?,What is the Hail Mary?,What is the Bible?,B
703,Novice,14,Toss-up,This one word means the same as pope.,What is pontiff?,"What is the sixth day? (Gn. 2:24-31) or ""What is Friday?""",What is pontiff?,What is: You shall not covet your neighbour's wife?,What is a miracle?,B
704,Novice,14,Toss-up,"At the death of a pope, the College of Cardinals gather in this chapel to elect a new pope.",What is the Sistine Chapel?,What is the pall?,What are days of abstinence?,What is the Sistine Chapel?,"What are: pride, covetousness, lust, anger, gluttony, envy and sloth?",C
705,Novice,14,Toss-up,Christ appointed him to be the first shepherd of the Church.,Who is St. Peter?,Who is Moses?,Who are the apostles?,Who is Isaac? (Gn. 22:2),Who is St. Peter?,D
706,Novice,14,Toss-up,"This first ""ex cathedra"" pronouncement in church history was made by St. Peter at the Council of Jerusalem in 51 AD.",What is the decision to release Gentile Christians from the ceremonial observances of Mosaic law i.e. circumcision?,What is lust?,What is the Feast of the Ascension?,What is abstinence?,What is the decision to release Gentile Christians from the ceremonial observances of Mosaic law i.e. circumcision?,D
708,Novice,15,Toss-up,"This is a declaration made by the pope that one of the faithful, because of a life of virtue or the heroic death of a martyrdom, is living in the happiness of heaven and may be honored locally or in a religious community by the title ""Blessed"".","What is ""BEATIFICATION?""","What is the Second Joyful Mystery, the Visitation of Mary.","What is the word ""Gospel?""","What is ""BEATIFICATION?""",What is anger?,C
709,Novice,15,Toss-up,"This is the written history of God's saving actions in the lives to the ""chosen people""…(the Hebrew or Jewish people)…preparing them and the world for the coming of the Savior.",What is the Old Testament?,What is heresy?,What is St. Simeon?,What is original sin?,What is the Old Testament?,D
710,Novice,15,Toss-up,A non-baptized person who is taking instruction to enter the Catholic Church.,Who is a catechumen?,Who is St. Peter?,Who is Jesus Christ?,Who is a catechumen?,Who is King Herod (son of Herod the Great)?,C
711,Novice,15,Toss-up,This person is the head of the Ecumenical Council.,Who is the pope.,Who is St. Joseph?,Who is the pope.,Who is St. Martin de Porres?,Who are they who show mercy?,B
712,Novice,15,Toss-up,These are the four marks of the Church.,"What are: One, Holy, Catholic and Apostolic?",What is Good Friday?,"What are: One, Holy, Catholic and Apostolic?",What is an Apostolic blessing or Papal blessing?,What is Holy Communion?,B
713,Novice,15,Toss-up,This is the feast celebrated 40 days after Easter.,What is the Ascension?,"What are: Baptism, Confirmation, Holy Orders, and Extreme Unction (or Anointing of the Sick)?","What are all the Sundays of the year, January lst (the Solemnity of Mary), the Feast of the Ascension (40 days after Easter), the Feast of the Assumption (August 15th), All Saints Day (November lst), the Feast of the Immaculate Conception (December 8th), and Christmas Day (December 25th)? (Canada: Sundays, Christmas, New Year's)",What is the Bible? (Sacred Scriptures) * only Old or New Testament is incorrect. Old and New T. is okay.,What is the Ascension?,D
714,Novice,15,Toss-up,This solemnity honors the Body and Blood of Jesus in the Holy Eucharist.,What is Corpus Christi?,What is diabolic possession?,What is idolatry?,What is the Feast of the Assumption?,What is Corpus Christi?,D
715,Novice,15,Toss-up,He is the father of the Jewish people.,Who is Abraham?,Who is St. Ignatius of Antioch?,Who is Abraham?,Who is Judas Iscariot?,Who is the pope.,B
716,Novice,15,Toss-up,This book in the New Testament follows in sequence the four Gospels.,What is the Acts of the Apostles?,What is the Hail Mary?,What is the Acts of the Apostles?,"What are: ""Feed my lambs, feed my sheep."" (Jn. 21: 15-17)",What are 16?,B
717,Novice,15,Toss-up,These are the four Evangelists.,"Who are Matthew, Mark, Luke, and John?",Who is St. Anne?,Who is St. Barbara?,Who is God?,"Who are Matthew, Mark, Luke, and John?",D
718,Novice,15,Toss-up,"This word in Hebrew means ""man"".","What is ""Adam""?",What is a lamb?,What is Easter Sunday?,What is the decision to release Gentile Christians from the ceremonial observances of Mosaic law i.e. circumcision?,"What is ""Adam""?",D
719,Novice,15,Toss-up,These are the two main parts of the Bible.,What are the Old Testament and the New Testament?,"What is one God in Three Divine Persons: Father, Son and Holy Spirit.",What is revelation?,What are the Old Testament and the New Testament?,What is a sacrament?,C
720,Novice,15,Toss-up,These are two other names for the Bible.,What are: Scripture or the Word of God?,What is grace?,What is a pagan or atheist?,What is the Apostles' Creed?,What are: Scripture or the Word of God?,D
721,Novice,15,Toss-up,This is the name for the place of happiness of the first man as recorded in the first two chapters of Genesis.,What is the Garden of Eden?,What is the Hail Mary?,What is the Garden of Eden?,What is canon law?,What is humility?,B
723,Novice,16,Toss-up,"This term describes the territory, ecclesiastical province of jurisdiction, governed by an archbishop.",What is an archdiocese?,What is an archdiocese?,What is: He would send a Redeemer?,What is a mystery?,What is a miracle?,A
724,Novice,16,Toss-up,He was the one who slew Abel.,Who is Cain?,Who is the Blessed Virgin? (Mary our Mother).,Who is Cain?,Who is St. Gemma Galgani?,Who are the sorrowing? (those who mourn).,B
725,Novice,16,Toss-up,This is the type of wood used to construct the ark.,What is gopherwood?,"What is Penance, Reconciliation or Confession?",What is St. Simeon?,What is gopherwood?,What is ask? (ask and you shall receive).,C
726,Novice,16,Toss-up,These small pitchers contain the wine and water which will be used during the Holy Sacrifice of the Mass.,What are cruets?,What is ask? (ask and you shall receive).,What is seventy times seven?,What are cruets?,What is Lourdes?,C
727,Novice,16,Toss-up,"This is a cup with a matching lid, used to hold the Body of Christ which will be given to communicants.",What is the ciborium?,What is Benediction of the Blessed Sacrament?,What is: Remember to keep holy the Lord's Day?,What is the ciborium?,What is the Baptism of Jesus in the Jordan River?,C
728,Novice,16,Toss-up,This a piece of linen cloth on which rest the vessels holding the Sacred Species during Mass.,What is the corporal?,What is grace?,What is the corporal?,What is a crosier?,What is seven days?,B
729,Novice,16,Toss-up,This is the dish upon which the Body of Jesus is placed.,What is the paten?,What is Easter Sunday?,"What are the heavens, the earth, light and darkness?",What is the paten?,What is: Honour your father and your mother?,C
730,Novice,16,Toss-up,This is a small linen towel the priest uses to cleanse the sacred vessels.,What is the purificator?,What is the purificator?,What is the Eighth Commandment?,What is grace?,What is Chrism?,A
731,Novice,16,Toss-up,This is the sacred cup in which the wine becomes the true Blood of Christ during the consecration.,What is the chalice?,What is idolatry?,What is: You shall not commit adultery?,What is Good Friday?,What is the chalice?,D
732,Novice,16,Toss-up,This is a linen card about six inches square used to cover the chalice containing the Precious Blood.,What is the pall?,What is the decision to release Gentile Christians from the ceremonial observances of Mosaic law i.e. circumcision?,What is the pall?,What is a Pharaoh?,What is Almighty?,B
733,Novice,16,Toss-up,This was Abraham's name before God changed it to Abraham.,Who is Abram?,Who is Abram?,Who is the pope.,Who is St. Elizabeth and St. Zachary?,Who is St. Martha?,A
734,Novice,16,Toss-up,This was his name before God changed it to Israel.,Who is Jacob?,"Who is St. Thérèse of Lisieux or ""The Little Flower?""",Who is Jesus Christ?,Who is Saint Valentine? Who are Sts. Cyril and Methodius? (also acceptable).,Who is Jacob?,D
735,Novice,16,Toss-up,This apostle kept the purse for the Apostles.,Who is Judas?,Who is Judas?,Who is Joshua or Josue?,Who is Cain?,Who is St. Francis Xavier?,A
736,Novice,16,Toss-up,This king was the one who executed John the Baptist.,Who is King Herod (son of Herod the Great)?,Who is the Blessed Virgin? (Mary our Mother).,Who is King Herod (son of Herod the Great)?,Who is Sara? (Gn. 21:2),Who is St. Michael?,B
737,Novice,16,Toss-up,This is the term used to describe the children murdered by King Herod the Great.,Who are the Holy Innocents?,Who are the apostles?,Who is Jesus Christ?,Who are the Holy Innocents?,Who is St. Rose of Lima?,C
739,Novice,17,Toss-up,These are the gifts of the three Wise Men.,"What are gold, frankincense and myrrh.",What is the Ascension?,What is (actual) sin?,"What are gold, frankincense and myrrh.",What is charity (love)?,C
740,Novice,17,Toss-up,This was the title given to the ancient kings of Egypt.,What is a Pharaoh?,What is a Pharaoh?,"What are the words: ""I absolve you from your sins, in the Name of the Father, and of the Son, and of the Holy Spirit?""",What is anger?,What is the Apostles' Creed?,A
741,Novice,17,Toss-up,The gift of the Holy Spirit that enables one to be understood by others in whatever language one speaks.,What is the gift of tongues?,What is the Bible?,What is Easter?,What is the gift of tongues?,"What is the Seventh Commandment: ""You shall not steal?""",C
742,Novice,17,Toss-up,"In the gospel by Matthew, Jesus says that we should forgive our brothers this many times.",What is seventy times seven?,What is seventy times seven?,What is Lourdes?,"What are the heavens, the earth, light and darkness?",What is: Honour your father and your mother?,A
743,Novice,17,Toss-up,"Zacharias, the father of John the Baptist, was stricken with this affliction prior to the birth of his son.",What is muteness?,What is three times?,What is lust?,What is muteness?,What is charity?,C
744,Novice,17,Toss-up,This is another name for the Book of Revelation.,What is Apocalypse?,What is Apocalypse?,What is the Seventh Commandment?,What is St. Simeon?,What is the Sign of the Cross?,A
745,Novice,17,Toss-up,This was the tenth and most devastating plague sent upon Egypt by God.,What is the death of the first born.,What is a pagan or atheist?,What is the death of the first born.,What is Chrism?,What are: (1) Admonish the sinner. (2) Instruct the ignorant. (3) Counsel the doubtful. (4) Comfort the sorrowful. (5) Bear wrongs patiently. (6) Forgive all injuries. (7) Pray for the living and the dead?,B
746,Novice,17,Toss-up,This Moabite woman was admitted to the Davidic line.,Who is Ruth?,Who is Jesus Christ?,Who is St. Francis Xavier?,Who is Ruth?,Who is St. Tarcisius?,C
747,Novice,17,Toss-up,Samuel appointed this man the first king of Israel.,Who is Saul?,Who is God?,Who is Melchisedech? (Gn. 14:18-20),Who is Saul?,Who is Ruth?,C
748,Novice,17,Toss-up,He was the brother of Moses and high priest of the old Law.,Who is Aaron?,Who is Aaron?,Who are St. James the Greater and St. James the Less?,Who is the One Lord?,Who is the Blessed Virgin? (Mary our Mother).,A
749,Novice,17,Toss-up,The wife of Abraham gave birth to Isaac in her old age.,Who is Sara? (Gn. 21:2),Who is Saint Mary Magdalene?,Who is St. Lawrence?,Who are the single-hearted? (pure of heart).,Who is Sara? (Gn. 21:2),D
750,Novice,17,Toss-up,On this day of creation God made man.,"What is the sixth day? (Gn. 2:24-31) or ""What is Friday?""",What are the theological virtues?,What are the Gospels?,"What is the sixth day? (Gn. 2:24-31) or ""What is Friday?""",What is: He would send a Redeemer?,C
751,Novice,17,Toss-up,"She is known as the mother of Cain, Abel, and Seth.","Who is Eve? (Gn. 3:20, 4:1)",Who is St. Tarcisius?,Who is the Holy Spirit?,Who is St. Clotilde?,"Who is Eve? (Gn. 3:20, 4:1)",D
752,Novice,17,Toss-up,"This high priest and king of Salem prefigured the Eternal High Priest, Jesus Christ, by his sacrifice of bread and wine.",Who is Melchisedech? (Gn. 14:18-20),Who is Melchisedech? (Gn. 14:18-20),Who is St. Stanislaus?,Who is St. Anne?,Who is St. Elizabeth Ann Seton?,A
753,Novice,17,Toss-up,Abraham was commanded by God to sacrifice this son.,Who is Isaac? (Gn. 22:2),Who is St. Elizabeth and St. Zachary?,Who is St. Peter?,Who is Moses?,Who is Isaac? (Gn. 22:2),D
755,Novice,18,Toss-up,It was she who found Moses in the river. (Ex 2:5-6),Who is the daughter of the Pharaoh of Egypt?,Who is St. Joseph?,Who is St. Martha?,Who is the daughter of the Pharaoh of Egypt?,Who is a catechumen?,C
